body,rating,artist,url,title,youtube,comments,difficulty,raw_tab,key,provider,contributor,raw_html,type
,,,http://www.e-chords.com/chords/the-beatles/and-your-bird-can-sing,And your bird can sing ,,,Expert,"
	      <u>E</u>
You tell me that you've got every thing you want
And your bird can sing
                  <u>F#m</u>   <u>A</u>
But you don't get me
              <u>E</u>
You don't get   me

You say you've seen seven wonders
And your bird is green
                  <u>F#m</u>   <u>A</u>
But you can't see me
              <u>E</u>
You can't see    me
<u>G#m</u>               <u>G5+</u>
When your prize posessions
<u>B/F#</u>               <u>C#/F</u>
Start to weigh you down
<u>E</u>            <u>F#m</u>
Look in my direction
                         <u>B7</u>
I'll be 'round, I'll be 'round
<u>G#m</u>               <u>G5+</u>
When your bird is broken
<u>B/F#</u>              <u>C#/F</u>
Will it bring you down?
<u>E</u>           <u>F#m</u>
You may be awoken
                         <u>B7</u>
I'll be 'round, I'll be 'round
<u>E</u>
Tell me that you've heard every sound there is
And your bird can swing
                   <u>F#m</u>   <u>A</u>
But you can't hear me
               <u>E</u>
You can't hear    me
	  ",E,echords,,,chords
,,,http://www.e-chords.com/bass/the-beatles/and-your-bird-can-sing,And your bird can sing ,,,Easy,"
	  INTRO 
                                                                                      you 
|----------------------|----------------------|----------------------|----------------------| 
|----------------------|----------------------|----------------------|----------------------| 
|--7---7------------7--|--7---7------------6--|--7---7------------6--|--7---7------------6--| 
|----------7--7--9-----|----------7--6--9-----|----------7--6--9-----|----------7--7--9-----| 
 
<u>A</u> 
   tell me that...             you want           and your bird...           but you don't.. 
   you say you've...       seven wonders          and your bird...           but you can't.. 
|-----------------------|----------------------|----------------------|------------------| 
|*----------------------|----------------------|----------------------|------------------| 
|*--7---7------------6--|--7---7------------6--|--7---7------------7--|--7------6--7-----| 
|-----------7--7--9-----|----------7--7--9-----|----------7--7--9-----|------7--------7--| 
 
                              you don't get...    me 
                              you can't see...    me                    
|----------------------|-----------------------|----------------------| 
|----------------------|--7---6----------------|----------6--7--8--9--| 
|--9---9---------7--9--|----------9---9--------|--7---7---------------| 
|----------9--9--------|-----------------------|----------------------| 
 
1__________________________ 2________________________ 
|------9-------------------|------9------------------| 
|----------6--6--7--8--9--*|----------6--6--7--8--9--| 
|--7----------------------*|--7----------------------| 
|--------------------------|-------------------------| 
 
<u>B</u> % 
   when your...                               start to weigh... 
   when your...                               will it bring... 
|----------------------|-------------------|--------------------|------------------| 
|--6---6------------5--|---5------------4--|--4------------3----|--3---------------| 
|-------------4--6-----|----------4--6-----|---------4--6-------|---------4--6--7--| 
|----------4-----------|-------4-----------|------4-------------|------4-----------| 
 
                                                                     TO CODA 
   look in my...                  I'll be               I'll be  
   you may be...                  I'll be               I'll be       
|----------------------|----------------------|-------------------|------4------------| 
|----------------------|--4---4---------2--4--|--4------2--4------|----------4--------| 
|--7---7---4--2--------|----------4--4--------|------4---------4--|--2----------2--2--| 
|----------------4--O--|----------------------|-------------------|-------------------| 
 
<u>C</u> 
|-----------------9--|-----------------9--|-----------------9--|-----------------9--| 
|----------7-H-9-----|----------7-H-9-----|----------7-H-9-----|----------7-H-9-----| 
|--7---7-------------|--7---7-------------|--7---7-------------|--7---7-------------| 
|--------------------|--------------------|--------------------|--------------------| 
 
|------------------11--|-------------------------|------9---------------|------9---------------| 
|----------9-H-11------|--9-S-7---6--------------|----------6--7--8--9--|----------6--7--8--9--| 
|--9---9---------------|--------------9-P-7-S-6--|--7-------------------|--7-------------------| 
|----------------------|-------------------------|----------------------|----------------------| 
 
CODA 
                    you 
|------4---4-----------| 
|----------------------| 
|--2----------2--2--2--| 
|----------------------| 
 
<u>D</u> 
   tell me that...    sound there...     and your bird... 
|------------------|------------------|-----------------7-H-9--9------| 
|------------------|------------------|----------7-H-9----------------| 
|--7---7---6---6---|--4---4---2---2---|--7---7---------------------7--| 
|------------------|------------------|-------------------------------| 
 
   swing but you...                                  you can't...         me 
|---------------------|-----------------------|--------------------|----------------------| 
|---------------------|-----------------------|--7---6-------------|----------6--7--8--9--| 
|--7---------7--------|--9---9------7-H-9--7--|----------9--7------|--7---7---------------| 
|------7--9-----9-----|----------9------------|-----------------9--|----------------------| 
 
|------9---------------| 
|----------6--7--8--9--| 
|--7-------------------| 
|----------------------| 
 
<u>E</u> 
|------9---------------|------9---------------|------9---------------|------9---------------| 
|----------6--7--8--9--|----------6--7--8--9--|----------6--7--8--9--|----------6--7--8--9--| 
|--7-------------------|--7-------------------|--7-------------------|--7-------------------| 
|----------------------|----------------------|----------------------|----------------------| 
 
|-------------------|--------------------|------9---------------|------9---------------| 
|-------------------|--7---6-------------|----------6--7--8--9--|----------6--7--8--9--| 
|--9---9------7--9--|----------9--9---6--|--7-------------------|--7-------------------| 
|----------9--------|--------------------|----------------------|----------------------| 
 
|----------------------|-----------------------|-----------------------| 
|----------------------|-----------------------|-----------------------| 
|--7---7------------7--|--7---7-------------7--|--7---7-------------7--| 
|----------7--7--9-----|----------7--7--9------|----------7--7--9------| 
 
|-------9--9--9--9--9--9--|--9--9---| 
|-------------------------|---------| 
|--7----------------------|---------| 
|---O---------------------|---------| 
 
gilson_tidus@hotmail.com 
 
CLICIANE TE AMO!!!!!!!!!!!! 

	  ",E,echords,gilson_ita_se,,bass
,,,http://www.e-chords.com/tabs/the-beatles/and-your-bird-can-sing,And your bird can sing ,,,Intermediate,"
	  e|----------------------------------4-4-4-4-4-----------| 
B|----7-7-5-7-5-4-5-4-----------5-7-----------5-----5-7-| 
G|--------------------6-4-----4-----------------4-6-----| 
D|------------------------7-6---------------------------| 
A|------------------------------------------------------| 
E|-0----------------------------------------------------| 
         keep playing until chord change 
              ^ 
e|----------}-------------------------------------------| 
B|-7-7-5----}-9---4-4-4-4--7-7-7-7--9-9-9-9------5-7-7--| 
G|-------6--}-7---2-2-2-2--5-5-5-5--7-7-7-7--4-6--------| 
D|----------}-9---4-4-4-4--7-7-7-7--9-9-9-9-------------| 
A|----------}-7---2-2-2-2--5-5-5-5--7-7-7-7-------------| 
E|----------}-------------------------------------------| 
            <b>Chorus</b> 
e|-------}-------4-4-------------3-3-------------2-2-------------1-1-------------0-0------| 
B|-7-5---}---2-4-----4-2-----2-4-----4-2-----2-4-----2-4-----2-4-----2---------0-----0----| 
G|----4--}-4-------------4-4-------------4-4-------------4-4-----------1-----1---------1--| 
D|-------}---------------------------------------------------------------2-2-------------2| 
A|-------}--------------------------------------------------------------------------------| 
E|-------}--------------------------------------------------------------------------------| 


repaet the first 8 notes of the <b>Chorus</b> 3 times. 

from complete scores 
	  ",E,echords,maccafan12,,tab
,,,http://www.e-chords.com/chords/the-beatles/and-your-bird-can-sing/keyboard,And your bird can sing ,,,Expert,"
	      <u>E</u>
You tell me that you've got every thing you want
And your bird can sing
                  <u>F#m</u>   <u>A</u>
But you don't get me
              <u>E</u>
You don't get   me

You say you've seen seven wonders
And your bird is green
                  <u>F#m</u>   <u>A</u>
But you can't see me
              <u>E</u>
You can't see    me
<u>G#m</u>               <u>G5+</u>
When your prize posessions
<u>B/F#</u>               <u>C#/F</u>
Start to weigh you down
<u>E</u>            <u>F#m</u>
Look in my direction
                         <u>B7</u>
I'll be 'round, I'll be 'round
<u>G#m</u>               <u>G5+</u>
When your bird is broken
<u>B/F#</u>              <u>C#/F</u>
Will it bring you down?
<u>E</u>           <u>F#m</u>
You may be awoken
                         <u>B7</u>
I'll be 'round, I'll be 'round
<u>E</u>
Tell me that you've heard every sound there is
And your bird can swing
                   <u>F#m</u>   <u>A</u>
But you can't hear me
               <u>E</u>
You can't hear    me
	  ",E,echords,,,chords
,,,http://www.e-chords.com/videos/the-beatles/-a-hard-days-nigh_1083,"Premium
              Content",,,,,,echords,,,
,,,http://www.e-chords.com/tabs/the-beatles/and-i-lover-her,And I Lover Her ,,,Beginner,"
	  1----------------------------- 
2-----1--0--------------------   
3--2--------2-----------------    X3 
4----------------------------- 
5----------------------------- 
6----------------------------- 


1----------------------------- 
2-----------0---1--------   
3-------------2-----------     
4---0-2-3-------------------- 
5----------------------------- 
6----------------------------- 

1----------------------------- 
2-----------0------------   
3-------------2-2----------     
4---0-2-3-------------------- 
5----------------------------- 
6----------------------------- 

1----------------------------- 
2-----------0---1--------   
3-------------2-----------     
4---0-2-3-------------------- 
5----------------------------- 
6----------------------------- 

1----------------------------- 
2--1----------------------   
3----2---------------------     
4------3--2--0---------2--------- 
5---------------0---0----------- 
6-----------------3------------ 


1----------------------------- 
2-----------0---1--------   
3-------------2-----------     
4---0-2-3-------------------- 
5----------------------------- 
6----------------------------- 

1----------------------------- 
2--1----------------------   
3----2---------------------     
4------3--2--0---------2--------- 
5---------------0---0----------- 
6-----------------3------------ 

1----------------------------- 
2-----1--0--------------------   
3--2--------2-----------------    X2 
4----------------------------- 
5----------------------------- 
6----------------------------- 
	  ",,echords,bombaXXX,,tab
,,,http://www.e-chords.com/tabs/the-beatles/and-i-love-her-solo,And I Love Her (Solo) ,,,Easy,"
	  

<i>Introdução: </i> 
34 25 24 36  

44 31 32 24 36 25 
I give her all my love  
44 31 32 24 36 
That's all I do  
44 31 32 24 36 25 
And if you saw my love  
25 36 32 31 44 
You'd love her too  
36 34 36 31 
I love her  

44 31 32 24 36 25 
She gives me everything  
44 31 32 24 36 
And tenderly  
44 31 32 24 36 25 
The kiss my lover brings  
25 36 32 31 44 
She brings to me  
36 34 36 31 
And I love her  


31 31 31 34 
A love like ours  
24 34 31 34 
Could never die  
31 31 31 34 
As long as I  
31 31 31 44 
Have you near me  

44 31 32 24 36 25 
Bright are the stars that shine  
44 31 32 24 36 
Dark is the sky  
44 31 32 24 36 25 
I know this love of mine  
25 36 32 31 44 
Will never die  
36 34 36 31 
And I love her  

30 32 33 25 23 26 
Bright are the stars that shine  
30 32 33 25 23 
Dark is the sky  
30 32 33 25 23 26 
I know this love of mine  
26 23 33 32 30 
Will never die  
23 35 23 32 
And I love her 
	  ",,echords,luiz14violeiro5,,tab
,,,http://www.e-chords.com/tabs/the-beatles/and-i-love-herguitar-full-version,And i love her(guitar full version) ,,,Expert,"
	  Esta canción va dedicada a la niña que amo a Carolina 
la neta pss espero que me perdones algun dia,con la 
colaboración inestimable del maestro Pumba  
 
 
e------ 
B------ 
G------ 
D--2-1- X 3 
A-2---4 
E------ 
 
Verse 
  Chords <u>F#m</u> <u>C#m</u> <u>A</u> <u>B</u> (in a circle)  
    
I give her all my love thats all i do 
 
and if you know my love you love her too 
 
and i love her 
 
 
 
she gives me everything and tenderly the kiss 
 
my lover brings she brings to me and i love her 
 
 
<u>Am</u>              <u>G</u> 
 
A love like ours will never die as long as I 
 
have tou near me 
 
 
The bright the stars that shine dark is the sky i know 
 
this love of mine will never die and i love her 
 
Background 
 
e--------9--|----9---|-----9--|----11--|----9-- 
B----10---10|--9---9-|--10--10|--10--10|--9---9 
G-11--------|9-------|9-------|11------|9------ 
D-----------|--------|--------|--------|------- 
A-----------|--------|--------|--------|------- 
E-----------|--------|--------|--------|------- 
 
Solo complete voice 
 
e------------|------------|-------------|------------|--------|-----------| 
B-------5-3-6|---------5-3|--------5-3-6|-6----------|--------|-----------| 
G-0-2-3------|-0-2-3------|-0-2-3-------|---7--------|--------|-----------| 
D------------|------------|-------------|-----8--7--5|-----5-7|-----------| 
A------------|------------|-------------|------------|-3-3----|-3---------| 
E------------|------------|-------------|------------|--------|----5-3-1-3| 
 
(here is the verse that says: "" a love like ours will never die as long as i have u near me"" 
 
e--------|---------|---------|----------| 
B--------|-5-------|-5-------|----------| 
G-------5|---5---5-|---5---5-|---5------| 
D-7-7-7--|-----7---|-----7---|-7---7--5-| 
A--------|---------|---------|----------| 
E--------|---------|---------|----------| 
 
 
 
 
 
 
 
 

	  ",,echords,accesote,,tab
,,,http://www.e-chords.com/bass/the-beatles/and-i-love-her,And I Love Her ,,,Intermediate,"
	  |------|------|------|------|------|1-1-1-1-|------|1-1-1-|------| 
|------|------|------|------|------|--------|------|------|------| 
|4-4-4-|4-4-4-|2-2-2-|2-2-2-|4-4-4-|--------|4-4-4-|------|4-4-4-| 
|------|------|------|------|------|--------|------|------|------| 
 
|1-1-1-|--------|--------|------|----------|------|1-1-1-|------| 
|------|2-2-2-2-|4-4-4-4-|------|------1-4-|------|------|------| 
|------|--------|--------|2-2-2-|2-2-2-----|4-4-4-|------|4-4-4-| 
|------|--------|--------|------|----------|------|------|------| 
   
|1-1-1-|------|1-1-1-|------|------|------|------|1-1-1-1-|--------| 
|------|------|------|2-2-2-|4-4-4-|------|------|--------|4-4-4-4-| 
|------|4-4-4-|------|------|------|2-2-2-|2-2-2-|--------|--------| 
|------|------|------|------|------|------|------|--------|--------| 
    
|1-1-1-1-|--------|1-1-1-1-|--------|--------|------1-|------| 
|--------|1-1-1-1-|--------|1-1-1-1-|4-4-4-4-|4-4-4---|------| 
|--------|--------|--------|--------|--------|--------|4-4-4-| 
|--------|--------|--------|--------|--------|--------|------| 
   
|1-1-1-1-|------|1-1-1-|------|1-1-1-|--------|--------|------| 
|--------|------|------|------|------|2-2-2-2-|4-4-4-4-|------| 
|--------|4-4-4-|------|4-4-4-|------|--------|--------|2-2-2-| 
|--------|------|------|------|------|--------|--------|------| 
   
|----------|------|2-2-2-2-|------|2-2-2-|------|2-2-2-|--------| 
|------1-4-|0-0-0-|--------|0-0-0-|------|0-0-0-|------|3-3-3-3-| 
|2-2-2-----|------|--------|------|------|------|------|--------| 
|----------|------|--------|------|------|------|------|--------| 
  
|0-0-0-0-|------|--------0-|------|2-2-2-|------|2-2-2-|------| 
|--------|------|------2---|0-0-0-|------|0-0-0-|------|0-0-0-| 
|--------|3-3-3-|3-3-3-----|------|------|------|------|------| 
|--------|------|----------|------|------|------|------|------| 
   
|2-2-2-|------|0-0-0-|------|------|2-2-2-2-|0-0-0-0-|2-2-2-2-| 
|------|3-3-3-|------|------|------|--------|--------|--------| 
|------|------|------|3-3-3-|3-3-3-|--------|--------|--------| 
|------|------|------|------|------|--------|--------|--------| 
  
|--------|2-2-2-2-|--------|0-0-0-0-|0-0-0-2-|------|2-2-2-2-| 
|2-2-2-2-|--------|2-2-2-2-|--------|--------|0-0-0-|--------| 
|--------|--------|--------|--------|--------|------|--------| 
|--------|--------|--------|--------|--------|------|--------| 
 
|------|2-2-2-|------|2-2-2-|--------|0-0-0-0-|------|--------0-| 
|0-0-0-|------|0-0-0-|------|3-3-3-3-|--------|------|------2---| 
|------|------|------|------|--------|--------|3-3-3-|3-3-3-----| 
|------|------|------|------|--------|--------|------|----------| 
  
|------|------|------|------|------|------|2-|| 
|0-0-0-|0-0-0-|------|------|0-0-0-|0-0-0-|--|| 
|------|------|3-3-3-|3-3-3-|------|------|--|| 
|------|------|------|------|------|------|--|| 
 
gilson_tidus@hotmail.com 
 
CLICIANE TE AMO!!!!!!!!!!!!!!!!!! 

	  ",F#m,echords,gilson_ita_se,,bass
,,,http://www.e-chords.com/tabs/the-beatles/and-i-love-her,And I Love Her ,,,Beginner,"
	  Intro: <u>F#m</u> <u>E6</u> <u>F#m</u>  
       <u>F#m</u>                        <u>E6</u>                         <u>F#m</u> 
A-|---7-6-4-|-|-|---7-6-4-|-|-|---7-6-4-| 
E-|-7-------|-|-|-7-------|-|-|-7-------| 
 
Arp:         <u>F#m</u>                       <u>C#m</u>		  <u>A</u>	 	     <u>B7</u>                         <u>E</u> 
e|-------9-----|-------9-----|-------9-----|-------11----|-------9-----| 
B|----10----10-|----9-----9--|----10----10-|----10----10-|----9-----9--| 
G|-11----------|-9-----------|-9-----------|-11----------|-9-----------| 
 
Solo: <u>Gm</u>       <u>Dm</u>            <u>Gm</u>       <u>Dm</u>         <u>Gm</u>       <u>Dm</u> 
G|---------9-7/10--------9-9\7--------9-7/10- 
D|---5-7-8---------5-7-8--------5-7-8-------- 
 
       <u>Bb</u>         <u>C7</u>                          <u>F</u>                          <u>Gm</u> 
G|-10-7--------------------------------- 
D|------8-7-7\5--------/7--------------- 
A|---------------5-3-5-----3------------ 
E|---------------------------5-3-1-1/3-- 
 
End:          <u>Gm</u>                          <u>F6</u>                         <u>Gm</u>                          <u>D</u>   
A|---8-7-5-|-|-|---8-7-5-|-|-|---8-7-5-|-|-|---8-7-5-|-| 
E|-8-------|-|-|-8-------|-|-|-8-------|-|-|-8-------|-| 
 

	  ",F#m,echords,Pete_Townshend,,tab
